Date,Open,High,Low,Close
03/23/2020,"0.0017","0.0020","0.0017","0.0018"
03/22/2020,"0.0018","0.0018","0.0017","0.0017"
03/21/2020,"0.0019","0.0019","0.0017","0.0018"
03/20/2020,"0.0018","0.0020","0.0013","0.0018"
03/19/2020,"0.0016","0.0018","0.0016","0.0018"
03/18/2020,"0.0016","0.0016","0.0015","0.0016"
03/17/2020,"0.0016","0.0017","0.0015","0.0016"
03/16/2020,"0.0017","0.0017","0.0010","0.0016"
03/15/2020,"0.0016","0.0018","0.0016","0.0016"
03/14/2020,"0.0018","0.0019","0.0015","0.0016"
03/13/2020,"0.0015","0.0018","0.0012","0.0017"
03/12/2020,"0.0021","0.0021","0.0015","0.0015"
03/11/2020,"0.0022","0.0023","0.0021","0.0022"
03/10/2020,"0.0022","0.0023","0.0022","0.0022"
03/09/2020,"0.0022","0.0023","0.0021","0.0022"
03/08/2020,"0.0024","0.0024","0.0022","0.0022"
03/07/2020,"0.0025","0.0025","0.0023","0.0024"
03/06/2020,"0.0025","0.0025","0.0024","0.0025"
03/05/2020,"0.0025","0.0026","0.0024","0.0025"
03/04/2020,"0.0025","0.0026","0.0024","0.0024"
03/03/2020,"0.0023","0.0027","0.0023","0.0025"
03/02/2020,"0.0023","0.0024","0.0023","0.0024"
03/01/2020,"0.0022","0.0023","0.0022","0.0023"
02/29/2020,"0.0023","0.0023","0.0022","0.0022"
02/28/2020,"0.0024","0.0024","0.0022","0.0023"
02/27/2020,"0.0024","0.0024","0.0022","0.0023"
02/26/2020,"0.0025","0.0025","0.0022","0.0024"
02/25/2020,"0.0025","0.0026","0.0024","0.0025"
02/24/2020,"0.0026","0.0026","0.0026","0.0026"
02/23/2020,"0.0026","0.0027","0.0026","0.0027"
02/22/2020,"0.0027","0.0027","0.0025","0.0026"
02/21/2020,"0.0027","0.0028","0.0026","0.0027"
02/20/2020,"0.0026","0.0028","0.0025","0.0027"
02/19/2020,"0.0028","0.0029","0.0026","0.0026"
02/18/2020,"0.0027","0.0029","0.0027","0.0029"
02/17/2020,"0.0027","0.0027","0.0024","0.0027"
02/16/2020,"0.0029","0.0029","0.0024","0.0026"
02/15/2020,"0.0031","0.0032","0.0028","0.0029"
02/14/2020,"0.0030","0.0034","0.0030","0.0031"
02/13/2020,"0.0031","0.0033","0.0029","0.0030"
02/12/2020,"0.0031","0.0034","0.0030","0.0031"
02/11/2020,"0.0030","0.0031","0.0028","0.0030"
02/10/2020,"0.0032","0.0034","0.0028","0.0030"
02/09/2020,"0.0032","0.0036","0.0030","0.0032"
02/08/2020,"0.0028","0.0034","0.0025","0.0032"
02/07/2020,"0.0026","0.0028","0.0026","0.0028"
02/06/2020,"0.0026","0.0028","0.0025","0.0026"
02/05/2020,"0.0025","0.0026","0.0025","0.0026"
02/04/2020,"0.0024","0.0025","0.0024","0.0025"
02/03/2020,"0.0025","0.0025","0.0024","0.0024"
02/02/2020,"0.0024","0.0025","0.0023","0.0025"
02/01/2020,"0.0024","0.0026","0.0024","0.0024"
01/31/2020,"0.0024","0.0026","0.0023","0.0024"
01/30/2020,"0.0024","0.0024","0.0023","0.0024"
01/29/2020,"0.0024","0.0025","0.0022","0.0024"
01/28/2020,"0.0024","0.0024","0.0020","0.0024"
01/27/2020,"0.0024","0.0024","0.0021","0.0024"
01/26/2020,"0.0023","0.0024","0.0023","0.0023"
01/25/2020,"0.0022","0.0025","0.0022","0.0023"
01/24/2020,"0.0022","0.0023","0.0022","0.0023"
01/23/2020,"0.0023","0.0023","0.0022","0.0022"
01/22/2020,"0.0024","0.0026","0.0022","0.0023"
01/21/2020,"0.0024","0.0024","0.0023","0.0024"
01/20/2020,"0.0024","0.0027","0.0023","0.0024"
01/19/2020,"0.0027","0.0027","0.0020","0.0023"
01/18/2020,"0.0025","0.0026","0.0025","0.0025"
01/17/2020,"0.0023","0.0025","0.0023","0.0025"
01/16/2020,"0.0024","0.0024","0.0023","0.0023"
01/15/2020,"0.0023","0.0027","0.0023","0.0024"
01/14/2020,"0.0022","0.0025","0.0022","0.0024"
01/13/2020,"0.0022","0.0022","0.0021","0.0022"
01/12/2020,"0.0022","0.0022","0.0022","0.0022"
