,open,high,low,subjectivity,polarity,compound,negative,neutral,positive
441,261.5720729591837,262.5444327959184,260.45190095918366,0.0,0.0,0.9638,0.0,0.917,0.083
442,234.80408579591835,236.44815722448985,231.9727868571429,0.0,0.0,0.8402,0.0,0.743,0.257
443,225.4199512244898,227.03671304081632,223.4144123877551,0.0,0.0,0.0,0.0,1.0,0.0
444,226.12374387755105,227.3954412653061,224.84935736734693,1.0,-0.25,0.9001,0.0,0.946,0.054
445,219.7757691020408,221.2089364693877,218.41898840816324,0.0,0.0,0.9638,0.0,0.918,0.082
446,226.99497902040815,227.8450164489796,225.7363809387755,0.0,0.0,0.7184,0.0,0.909,0.091
447,224.36656306666669,225.2140093555556,223.46308626666664,1.0,-0.25,0.4588,0.0,0.966,0.034
448,229.4971814489796,230.51376440816327,228.75636512244893,0.0,0.0,0.0,0.0,1.0,0.0
449,235.3199678979592,236.713979122449,234.6880321632653,0.0,0.0,0.7184,0.0,0.922,0.078
450,242.749595877551,243.7342547959184,241.48267928571428,1.0,-0.25,0.9841,0.0,0.897,0.103
451,200.6718060612245,202.6020694081633,198.53346728571427,0.0,0.0,0.0,0.0,1.0,0.0
452,201.7035500612245,202.78661732653063,200.43090814285716,1.0,-0.25,0.8619,0.0,0.876,0.124
453,195.9805721632653,197.1376387755102,194.35739085714283,1.0,-0.25,0.9729,0.0,0.816,0.184
454,122.74163255102042,127.42468438775512,118.75947557142857,1.0,-0.25,0.9719,0.0,0.88,0.12
455,129.02596885714286,130.0317219387755,127.45784640816326,1.0,-0.25,0.7424,0.0,0.91,0.09
456,123.58951148979592,124.86453351020408,122.60538067346938,0.0,0.0,0.9325,0.0,0.937,0.063
457,113.27951259183676,114.70951259183674,111.1130906122449,1.0,-0.25,0.8402,0.0,0.953,0.047
458,116.3274853877551,117.64159757142856,115.39544457142856,1.0,-0.25,0.8625,0.018,0.894,0.088
459,114.8968906734694,115.78268616326532,114.0180226734694,0.0,0.0,0.4588,0.0,0.9,0.1
460,125.60346587755102,127.47403520408164,124.63271151020408,0.0,0.0,0.4588,0.0,0.981,0.019
461,138.09610769387754,140.22783277551022,135.8201154897959,0.0,0.0,0.8402,0.0,0.871,0.129
462,131.94493389795915,133.22066146938775,130.50456646938775,1.0,-0.25,0.9833,0.0,0.886,0.114
463,130.1692068367347,131.1128906530612,128.79161902040818,1.0,-0.25,0.9818,0.0,0.845,0.155
464,127.13889759183674,128.69084910204083,126.23812004081633,1.0,-0.25,0.5766,0.0,0.949,0.051
465,137.17600281632653,138.28507208163265,136.03854646938777,0.0,0.0,0.0,0.0,1.0,0.0
466,135.4910341632653,136.1287870612245,134.89685779591835,0.0,0.0,0.0,0.0,1.0,0.0
467,136.9532639591837,137.4357692857143,136.2107743469388,1.0,-0.25,0.4588,0.0,0.976,0.024
468,128.81944377551022,129.49964785714286,127.9377997755102,1.0,-0.25,0.9517,0.0,0.896,0.104
469,128.4888843877551,128.87273648979593,127.81612346938776,0.0,0.0,0.0,0.0,1.0,0.0
470,142.38000934693878,143.09489534693878,141.5695792857143,1.0,-0.25,0.4588,0.0,0.972,0.028
471,142.02153426530612,142.67831232653063,141.46758828571427,0.0,0.0,0.4588,0.0,0.98,0.02
472,143.3228778979592,143.717725,142.7859608367347,1.0,-0.25,0.9742,0.0,0.891,0.109
473,154.7150656122449,156.56842130612245,153.98417553061225,0.0,0.0,0.0,0.0,1.0,0.0
474,170.34607032653062,171.52845167346936,168.9772106734694,0.0,0.0,0.0,0.0,1.0,0.0
475,169.56653726530612,170.70735236734694,168.7284325510204,0.0,0.0,0.4588,0.0,0.94,0.06
476,160.33896467346938,161.02591363265307,158.88070355102042,0.0,0.0,0.0,0.0,1.0,0.0
477,158.02650991836734,158.66056269387755,157.38914979591837,1.0,-0.25,0.7739,0.0,0.919,0.081
478,159.46066104081632,160.207897,158.8283777755102,0.0,0.0,0.0,0.0,1.0,0.0
479,157.89460495918368,158.4641045102041,157.12944573469386,1.0,-0.25,0.9655,0.0,0.913,0.087
480,164.73204946938776,166.53116881632653,163.77488614285713,1.0,-0.25,0.987,0.0,0.772,0.228
481,177.54098108163268,178.80000969387754,177.02383822448982,1.0,-0.25,0.9776,0.0,0.903,0.097
482,178.7749025510204,179.84150085714285,177.24227089795917,1.0,-0.25,0.9001,0.0,0.957,0.043
483,171.54342275510206,172.320376877551,170.76046614285713,0.0,0.0,0.0,0.0,1.0,0.0
484,176.8483754081633,177.8530817755102,176.34829793877552,1.0,-0.25,0.9325,0.0,0.917,0.083
485,184.95571791836736,186.07099728571427,184.04327861224488,0.0,0.0,0.9517,0.0,0.906,0.094
486,187.55024708163265,188.3347017959184,186.8931042244898,1.0,-0.25,0.9821,0.0,0.901,0.099
487,192.99880447727276,194.0055085,192.2270348636364,1.0,-0.25,0.0,0.0,1.0,0.0
488,195.18415487755104,195.8852034897959,194.59220542857145,1.0,-0.25,0.906,0.0,0.922,0.078
