,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
1468,11762.8,11798.4,10839.4,1,1,1,1,1,1,2019-07-13
1469,11364.3,11448.7,10128.9,1,1,1,1,1,1,2019-07-14
1470,10199.9,11064.7,9885.4,1,1,1,1,1,1,2019-07-15
1471,10844.0,11019.5,9375.3,1,1,1,1,1,1,2019-07-16
1472,9425.1,9983.6,9082.6,1,1,1,1,1,1,2019-07-17
1473,9723.1,10787.1,9390.0,1,1,1,1,1,1,2019-07-18
1474,10651.6,10758.4,10160.7,1,1,1,1,1,1,2019-07-19
1475,10571.9,11155.6,10462.0,1,1,1,1,1,1,2019-07-20
1476,10827.0,10883.8,10442.5,1,1,1,1,1,1,2019-07-21
1477,10715.1,10806.3,10196.5,1,1,1,1,1,1,2019-07-22
1478,10412.8,10414.7,9865.4,1,1,1,1,1,1,2019-07-23
1479,9887.2,9945.3,9584.0,1,1,1,1,1,1,2019-07-24
1480,9804.7,10203.5,9776.6,1,1,1,1,1,1,2019-07-25
1481,9945.2,10436.1,9724.2,1,1,1,1,1,1,2019-07-26
1482,9830.4,10232.3,9389.1,1,1,1,1,1,1,2019-07-27
1483,9491.1,9798.5,9401.1,1,1,1,1,1,1,2019-07-28
1484,9728.5,9835.4,9502.5,1,1,1,1,1,1,2019-07-29
1485,9580.0,9703.0,9483.0,1,1,1,1,1,1,2019-07-30
1486,9580.3,10100.0,9562.4,1,1,1,1,1,1,2019-07-31
1487,10081.9,10459.0,9890.6,1,1,1,1,1,1,2019-08-01
1488,10380.5,10664.8,10330.5,1,1,1,1,1,1,2019-08-02
1489,10519.9,10893.6,10504.5,1,1,1,1,1,1,2019-08-03
1490,10816.1,11017.7,10568.8,1,1,1,1,1,1,2019-08-04
1491,10934.8,11922.3,10934.8,1,1,1,1,1,1,2019-08-05
